loser_id,loser_name,nemesis_id,nemesis_name,n_match_lost
8314,Sofiya Chursina,2490,Zhibek Kulambayeva,1
8314,Sofiya Chursina,2772,Viktoriia Kalinina,1
8314,Sofiya Chursina,2088,Jacqueline Cabaj Awad,1
8314,Sofiya Chursina,2176,Viktoria Morvayova,1
8314,Sofiya Chursina,2773,Milana Maslenkova,1
8314,Sofiya Chursina,2311,Polina Bakhmutkina,1
8314,Sofiya Chursina,1540,Valeriya Yushchenko,1
8315,Valeriya Bichurina,8957,Muslima Akhunova,1
8315,Valeriya Bichurina,1357,Anastasia Detiuc,1
8315,Valeriya Bichurina,8309,Diyora Alzhanova,1
8315,Valeriya Bichurina,2794,Eunhye Lee,1
8315,Valeriya Bichurina,1568,Polina Golubovskaya,1
8315,Valeriya Bichurina,3253,Mariya Poduraeva,1
8316,Nina Rudiukova,7414,Chiara Merico,1
8316,Nina Rudiukova,1415,Natalia Orlova,1
8316,Nina Rudiukova,6974,Jantje Tilbuerger,1
8316,Nina Rudiukova,3739,Anjana Suresh,1
8316,Nina Rudiukova,7392,Asya Colombo,1
8316,Nina Rudiukova,1919,Lena Ruppert,1
8316,Nina Rudiukova,6840,Justina Mikulskyte,1
8316,Nina Rudiukova,3253,Mariya Poduraeva,1
8316,Nina Rudiukova,6485,Lisa Pigato,1
8316,Nina Rudiukova,2064,Anna Ureke,1
8316,Nina Rudiukova,7944,Maria Dolores Lopez Martinez,1
8316,Nina Rudiukova,1282,Julia Riera,1
8316,Nina Rudiukova,8080,Luisa Meyer Auf Der Heide,1
8316,Nina Rudiukova,2105,Nadia Echeverria Alam,1
8316,Nina Rudiukova,7021,Paula Ortega Redondo,1
8316,Nina Rudiukova,1411,Lea Tholey,1
8316,Nina Rudiukova,8589,Andra Cristina Captan,1
8316,Nina Rudiukova,2957,Maria Toma,1
8316,Nina Rudiukova,6477,Nastasja Mariana Schunk,1
8316,Nina Rudiukova,2447,Antonia Schmidt,1
8316,Nina Rudiukova,3229,Laure Line Glaude,1
8316,Nina Rudiukova,678,Alicia Barnett,1
8317,Adel Ismagulova,7365,Mariya Krasakova,1
8317,Adel Ismagulova,1542,Viktoriya Kanapatskaya,1
8317,Adel Ismagulova,7327,Daria Krasnova,1
8317,Adel Ismagulova,1519,Elina Nepliy,1
8317,Adel Ismagulova,8308,Zhanel Rustemova,1
8318,Daria Mikhaylova,2765,Anastasia Veselova,1
8318,Daria Mikhaylova,8056,Ekaterina Nikiforova,1
8318,Daria Mikhaylova,8317,Adel Ismagulova,1
8319,Aizat Zholdakayeva,6854,Tatsiana Sasnouskaya,1
8319,Aizat Zholdakayeva,7873,Larisa Bekmetova,1
8319,Aizat Zholdakayeva,8324,Kristina Mayer,1
8320,Victoria Sasinka,2767,Arina Solomatina,1
8320,Victoria Sasinka,8772,Defne Cirpanli,1
8320,Victoria Sasinka,3991,Ksenia Kolesnikova,1
8320,Victoria Sasinka,2773,Milana Maslenkova,1
8321,Anna Lytneva,7178,Olivia Gram,1
8321,Anna Lytneva,1543,Diana Demidova,1
8321,Anna Lytneva,1919,Lena Ruppert,1
8321,Anna Lytneva,2767,Arina Solomatina,1
8322,Darya Gaifullina,7946,Elizaveta Kuznetsova,1
8322,Darya Gaifullina,2428,Mariam Dalakishvili,1
8322,Darya Gaifullina,6992,Alisa Rastegaeva,1
8322,Darya Gaifullina,8326,Vladislava Petrovskaia,1
8323,Maryia Novikava,7090,Anastasia Mozgaleva,1
8323,Maryia Novikava,7224,Mariya Sinitsyna,1
8324,Kristina Mayer,1639,Gergana Topalova,1
8324,Kristina Mayer,6977,Alisa Kummel,1
8324,Kristina Mayer,8323,Maryia Novikava,1
8324,Kristina Mayer,8056,Ekaterina Nikiforova,1
8325,Tatiana Ovechkina,2775,Shakhzoda Asimova,1
8325,Tatiana Ovechkina,8317,Adel Ismagulova,1
8326,Vladislava Petrovskaia,2154,Arina Gabriela Vasilescu,2
8327,Tatyana Nikolenko,8240,Anja Wildgruber,1
8327,Tatyana Nikolenko,2490,Zhibek Kulambayeva,1
8327,Tatyana Nikolenko,8805,Anastasiya Konstantinovna Soboleva,1
8327,Tatyana Nikolenko,1889,Nikola Breckova,1
8327,Tatyana Nikolenko,7330,Maria Krupenina,1
8327,Tatyana Nikolenko,2359,Alina Silich,1
8327,Tatyana Nikolenko,7329,Anastasia Tikhonova,1
8327,Tatyana Nikolenko,2064,Anna Ureke,1
8327,Tatyana Nikolenko,819,Anastasia Zakharova,1
8327,Tatyana Nikolenko,1971,Anastasia Sukhotina,1
8327,Tatyana Nikolenko,1531,Daria Lodikova,1
8327,Tatyana Nikolenko,1543,Diana Demidova,1
8328,Valeriia Ivanovskaia,3416,Nasiba Espolova,1
8329,Kristina Vergazova,7958,Arina Petrova,1
8330,Judith Muraa,3142,Lexie Stevens,1
8330,Judith Muraa,2134,Paulina Jastrzebska,1
8331,Angella Okutoyi,6970,Sravya Shivani Chilakalapudi,1
8331,Angella Okutoyi,2842,Sada Nahimana,1
8332,Faith Nyabera Omurunga,8330,Judith Muraa,1
8332,Faith Nyabera Omurunga,4172,Nevena Sokovic,1
8333,Fatiya Shariff,1626,Mariana Borges,1
8334,Roselida Asumwa,2070,Diana Maria Mihail,1
8335,Alicia Owegi,6945,Sariaka Veronika Rachelle Radilofe,1
8336,Cynthia Wanjala,3142,Lexie Stevens,1
8337,Hyun Sin Son,2820,Ye Jin Kim,1
8338,Si On Park,2690,Ayumi Koshiishi,1
8339,Sandeul Kim,7236,So Hee Yoon,1
8339,Sandeul Kim,1673,Michika Ozeki,1
8339,Sandeul Kim,1203,Kotomi Takahata,1
8340,Gyung Eun Song,8353,Mi Jin Kim,1
8340,Gyung Eun Song,3188,Anna Laguza,1
8340,Gyung Eun Song,2794,Eunhye Lee,1
8340,Gyung Eun Song,2744,Sakura Hosogi,1
8341,Handeul Kim,7255,Ha Yeong Ryu,1
8341,Handeul Kim,2194,Andrea Ka,1
8341,Handeul Kim,2717,Kanako Morisaki,1
8341,Handeul Kim,2783,You Na Sul,1
8342,Eunyeong Park,3619,Haley Giavara,1
8342,Eunyeong Park,2779,Seung Yeon Hong,1
8342,Eunyeong Park,1706,Chieh Yu Hsu,1
8342,Eunyeong Park,2713,Ji Hee Choi,1
8343,Da In Nam,2816,Subin Park,1
8344,Han Gyeol Jeong,2806,Dayeon Back,1
8345,Seonghee Cheon,2794,Eunhye Lee,1
8346,Taehee Kim,2158,Se Hyun Kim,1
8347,Jeong Yeon Choi,7242,Cherry Kim,1
8348,Na Hyun Kang,2781,Eun Se Jang,1
8348,Na Hyun Kang,7255,Ha Yeong Ryu,1
8348,Na Hyun Kang,7212,Shiori Fukuda,1
8349,Eunseo Kim,2296,Daria Mironova,1
8350,Jeong Moon,8342,Eunyeong Park,1
8350,Jeong Moon,2783,You Na Sul,1
8351,Sihyeong Cho,2818,Soo Bin Oh,1
8351,Sihyeong Cho,2780,Yu Jin Ahn,1
8351,Sihyeong Cho,2805,Hyojung Yea,1
8352,Ji Young Seo,7239,Da Ye Kim,1
8352,Ji Young Seo,7246,Yubean Lee,1
8353,Mi Jin Kim,1803,Shou Na Mu,1
8353,Mi Jin Kim,7248,Hyeran Yun,1
8353,Mi Jin Kim,2818,Soo Bin Oh,1
8354,Hyeseo Shin,2818,Soo Bin Oh,1
8355,Choyeon Kang,7251,Eunji Lee,1
8355,Choyeon Kang,2779,Seung Yeon Hong,1
8355,Choyeon Kang,7245,Hwui Won Wi,1
8356,Eunji Oh,2781,Eun Se Jang,1
8356,Eunji Oh,7239,Da Ye Kim,1
8357,Hyojin Kong,7240,Ryeong Gyeong Park,1
8358,Jae Young Jo,4027,Seohyeon Kim,1
8359,Youna Kim,2806,Dayeon Back,1
8360,Eun Ji Lee,8741,Margaux Komano,1
8360,Eun Ji Lee,1088,Carlota Martinez Cirez,1
8360,Eun Ji Lee,6843,Vicky Van De Peer,1
8360,Eun Ji Lee,2815,Hoyeon Nor,1
8360,Eun Ji Lee,7239,Da Ye Kim,1
8360,Eun Ji Lee,2236,Helene Pellicano,1
8360,Eun Ji Lee,9300,Jillian Louise Roa,1
8360,Eun Ji Lee,2690,Ayumi Koshiishi,1
